[2026-05-09 15:06:46.001134] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 15:06:46.284498] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 15:06:56.295464] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 15:06:56.534066] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 15:07:03.410569] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 15:07:03.658339] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 15:20:00.325010] User: testestes2@gmail.com, Role: MOTORISTA
[2026-05-09 15:20:00.590800] User: testestes2@gmail.com, Role: MOTORISTA
[2026-05-09 16:39:27.155117] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:39:27.267450] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:39:47.041319] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:40:28.455938] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:40:28.766684] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:40:33.564778] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:40:33.882542] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:41:14.364397] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:41:14.565697] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:41:24.149744] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:41:24.420733] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:41:44.245105] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:42:04.260837] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:42:24.148562] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:42:44.151158] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:43:04.311873] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:43:06.205231] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:43:06.363085] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:43:24.190453] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:43:34.079317] User: admin@zelamapa.com, Role: ADMIN
[2026-05-09 16:43:56.069863] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:43:56.316144] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:44:15.940641] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:44:35.942331] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:47:05.859557] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:47:06.140395] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:47:25.786479] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:47:29.865507] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:47:30.195133] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:47:49.805955] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:47:49.999018] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:48:52.022297] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:48:52.214465] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:49:12.133741] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:49:32.025201] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:49:52.015992] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:50:12.018695] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:50:32.118245] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:50:58.957766] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:50:59.340008] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:51:05.205161] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:51:05.545012] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:51:25.396957] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:51:30.834010] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:51:31.198343] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:51:51.976996] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:51:52.328669] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:51:53.917746] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:51:54.165243] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:52:19.284730] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:52:19.540410] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:52:58.007805] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:52:58.304173] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:53:07.885426] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:53:08.513908] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:53:10.938498] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:53:11.322802] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:56:02.912732] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:56:03.174941] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-09 16:56:23.945756] User: teste5@gmail.com, Role: MOTORISTA
[2026-05-09 16:56:24.200610] User: teste5@gmail.com, Role: MOTORISTA
[2026-05-15 18:41:27.436257] User: teste5@gmail.com, Role: MOTORISTA
[2026-05-15 18:41:28.019552] User: teste5@gmail.com, Role: MOTORISTA
[2026-05-15 18:41:52.864774] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-15 18:41:53.373213] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-27 20:19:56.696881] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-27 20:19:57.382343] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-27 20:20:00.790826] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-27 20:20:01.672780] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-27 20:47:34.728471] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-27 20:47:34.903829] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-27 20:47:38.189499] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-05-27 20:47:38.383094] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-06-02 07:56:25.918247] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-06-02 07:56:26.154080] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-06-02 07:56:45.783075] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-06-02 07:57:05.919715] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-06-02 07:57:25.877119] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-06-02 07:57:45.763364] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-06-02 07:58:05.912400] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-06-02 07:58:25.911023] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-06-02 07:58:48.993055] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-06-02 07:59:05.894047] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-06-02 07:59:27.313607] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-06-02 07:59:45.927105] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-06-02 08:00:05.952733] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-06-02 08:00:25.872232] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-06-02 08:00:45.765221] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-06-02 08:01:05.863691] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-06-02 08:01:25.763519] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-06-02 08:01:45.866503] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-06-02 08:02:05.875152] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-06-02 08:02:17.651186] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-06-02 08:02:17.853323] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-06-02 08:04:37.602172] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-06-02 08:04:37.878940] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-06-02 08:04:40.203167] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-06-02 08:04:40.401684] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-06-02 08:04:48.745781] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-06-02 08:04:48.962586] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-06-02 08:05:08.815160] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-06-02 08:09:43.920696] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-06-02 08:09:44.138648] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-06-02 08:09:54.150652] User: motorista1@zelamapa.com, Role: MOTORISTA
[2026-06-02 08:09:54.278643] User: motorista1@zelamapa.com, Role: MOTORISTA
